index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
0,0,0,0,0,0,0,0,0
1,17,0,1,0,0,0,0,0
2,26,0,0,0,0,0,0,0
3,27,6,1,0,0,0,0,0
4,101,6,0,0,0,0,0,0
5,74,10,1,0,0,0,0,0
6,140,10,0,0,0,0,0,0
7,187,2,1,0,0,0,0,0
8,286,2,0,0,0,0,0,0
9,293,15,1,0,0,0,0,0
10,308,15,0,0,0,0,0,0
11,286,25,1,0,0,0,0,0
12,259,25,0,0,0,0,0,0
13,288,22,1,0,0,0,0,0
14,213,22,0,1,0,0,0,0
15,141,30,1,0,0,0,0,0
16,115,30,0,0,1,0,0,0
17,93,8,1,0,1,0,0,0
18,21,8,0,0,2,0,0,0
19,88,-13,1,0,2,0,0,0
20,41,-13,0,0,3,0,0,0
21,76,0,1,0,3,0,0,0
22,-6,0,0,0,4,0,0,0
23,9,20,1,0,4,0,0,0
24,-22,20,0,0,5,0,0,0
25,-35,37,1,0,5,0,0,0
26,-70,37,0,0,6,0,0,0
27,-147,41,1,0,6,0,0,0
28,-126,41,0,0,7,0,0,0
29,-222,14,1,0,7,0,0,0
30,-236,14,0,0,8,0,0,0
31,-277,-36,1,0,8,0,0,0
32,-252,-36,0,0,9,0,0,0
33,-231,-80,1,0,9,0,0,0
34,-220,-80,0,0,10,0,0,0
35,-160,-95,1,0,10,0,0,0
36,-109,-95,0,0,11,0,0,0
37,-34,-80,1,0,11,0,0,0
38,36,-80,0,0,12,0,0,0
39,16,-42,1,0,12,0,0,0
40,46,-42,0,0,13,0,0,0
41,68,-27,1,0,13,0,0,0
42,33,-27,0,0,14,0,0,0
43,101,-9,1,0,14,0,0,0
44,67,-9,0,0,15,0,0,0
45,28,26,1,0,15,0,0,0
46,65,26,0,0,16,0,0,0
47,177,31,1,0,16,0,0,0
48,184,31,0,0,17,0,0,0
49,304,74,1,0,17,0,0,0
50,310,74,0,0,18,0,0,0
51,325,141,1,0,18,0,0,0
52,335,141,0,0,19,0,0,0
53,363,182,1,0,19,0,0,0
54,285,182,0,0,20,0,0,0
55,281,212,1,0,20,0,0,0
56,228,212,0,0,21,0,0,0
57,159,223,1,0,21,0,0,0
58,198,223,0,0,22,0,0,0
59,126,199,1,0,22,0,0,0
60,120,199,0,1,23,0,0,0
61,64,155,1,0,23,0,0,0
62,115,155,0,0,23,1,0,0
63,84,105,1,0,23,1,65,1
64,57,63,1,0,0,0,65,1
65,52,27,1,0,0,0,65,0
66,5,27,0,0,0,0,65,0
67,-26,4,1,0,0,0,65,0
68,2,4,0,0,0,0,65,0
69,-132,-21,1,0,0,0,65,0
70,-161,-21,0,0,0,0,65,0
71,-201,-83,1,0,0,0,65,0
72,-249,-83,0,0,0,0,65,0
73,-226,-132,1,0,0,0,65,0
74,-257,-132,0,0,0,0,65,0
75,-191,-149,1,0,0,0,65,0
76,-66,-149,0,0,0,0,65,0
77,-109,-131,1,0,0,0,65,0
78,-21,-131,0,0,0,0,65,0
79,-3,-133,1,0,0,0,65,0
80,63,-133,0,0,0,0,65,0
81,84,-125,1,0,0,0,65,0
82,121,-125,0,0,0,0,65,0
83,132,-110,1,0,0,0,65,0
84,66,-110,0,0,0,0,65,0
85,71,-95,1,0,0,0,65,0
86,74,-95,0,0,0,0,65,0
87,110,-82,1,0,0,0,65,0
88,156,-82,0,0,0,0,65,0
89,231,-60,1,0,0,0,65,0
90,293,-60,0,0,0,0,65,0
91,345,-18,1,0,0,0,65,0
92,384,-18,0,0,0,0,65,0
93,394,25,1,0,0,0,65,0
94,403,25,0,0,0,0,65,0
95,409,53,1,0,0,0,65,0
96,360,53,0,0,0,0,65,0
97,342,70,1,0,0,0,65,0
98,230,70,0,0,0,0,65,0
99,197,72,1,0,0,0,65,0
100,163,72,0,0,0,0,65,0
101,147,60,1,0,0,0,65,0
102,94,60,0,1,0,0,65,0
103,60,46,1,0,0,0,65,0
104,95,46,0,0,1,0,65,0
