Input,Output
0,0
1,0
2,1
3,1
4,2
5,2
6,3
7,3
8,4
9,4
10,5
11,5
12,6
13,6
14,7
15,7
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
-200,8
200,-227
-200,384
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
-200,511
200,-512
300,511
300,-388
300,481
300,-365
300,453
300,-343
300,426
300,-323
300,401
300,-304
300,377
300,-286
300,355
300,-269
300,334
300,-253
300,314
300,-238
300,295
300,-224
300,278
300,-211
300,262
300,-199
300,247
300,-187
300,232
300,-176
300,218
300,-166
