time_us,x_in,y_out
500000,0,0
1500000,0,0
2500000,10,0
3500000,10,4
4500000,10,4
5500000,10,6
6500000,10,6
7500000,10,8
8500000,10,8
9500000,10,9
10500000,10,9
11500000,10,9
12500000,10,9
13500000,10,9
14500000,10,9
15500000,10,9
16500000,10,9
17500000,10,9
18500000,10,9
19500000,10,9
20500000,10,9
21500000,10,9
22500000,50,9
23500000,0,25
24500000,0,6
25500000,0,15
26500000,0,4
27500000,0,9
28500000,0,2
29500000,0,6
30500000,0,1
31500000,0,4
32500000,0,1
33500000,0,2
34500000,0,1
35500000,0,1
36500000,0,1
37500000,0,1
38500000,0,1
39500000,0,1
40500000,0,1
41500000,0,1
42500000,0,1
43500000,21,1
44500000,26,9
45500000,29,11
46500000,29,17
47500000,26,18
48500000,21,20
49500000,13,19
50500000,4,17
51500000,-4,13
52500000,-13,9
53500000,-21,3
54500000,-26,-3
55500000,-29,-8
56500000,-29,-13
57500000,-26,-16
58500000,-21,-18
59500000,-13,-18
60500000,-4,-16
61500000,4,-13
62500000,13,-8
63500000,21,-3
64500000,26,3
65500000,29,8
66500000,29,13
67500000,26,16
68500000,21,18
69500000,13,18
70500000,4,16
71500000,-4,13
72500000,-13,8
73500000,-21,3
74500000,-26,-3
75500000,-29,-8
76500000,-29,-13
77500000,-26,-16
78500000,-21,-18
79500000,-13,-18
80500000,-4,-16
81500000,4,-13
82500000,13,-8
83500000,0,-3
84500000,17,-5
85500000,-28,5
86500000,28,-14
87500000,-17,14
88500000,0,-15
89500000,17,9
90500000,-28,-3
91500000,28,-5
92500000,-17,9
93500000,0,-10
94500000,17,6
95500000,-28,0
96500000,28,-7
97500000,-17,11
98500000,0,-11
99500000,17,7
100500000,-28,0
101500000,28,-6
102500000,-17,11
103500000,0,-10
104500000,17,7
105500000,-28,0
106500000,28,-6
107500000,-17,11
108500000,0,-10
109500000,17,7
110500000,-28,0
111500000,28,-6
112500000,-17,11
113500000,0,-10
114500000,17,7
115500000,-28,0
116500000,28,-6
117500000,-17,11
118500000,0,-10
119500000,17,7
120500000,-28,0
121500000,28,-6
122500000,-17,11
123500000,-17,-10
124500000,-17,-10
125500000,-17,-10
126500000,-17,-10
127500000,-17,-10
128500000,-17,-10
129500000,-17,0
130500000,-17,-13
131500000,-17,-7
132500000,-17,-15
133500000,-17,0
134500000,-17,0
135500000,-17,0
136500000,-17,-7
137500000,-17,-7
138500000,-17,-11
139500000,-17,-11
140500000,-17,-13
141500000,-17,-13
142500000,-17,-15
143500000,-17,-15
144500000,-17,-16
