Input,Output
17,0
27,6
74,10
187,2
293,15
286,25
288,22
141,30
93,8
88,-13
76,0
9,20
-35,37
-147,41
-222,14
-277,-36
-231,-80
-160,-95
-34,-80
16,-42
68,-27
101,-9
28,26
177,31
304,74
325,141
363,182
281,212
159,223
126,199
64,155
84,105
52,63
-26,35
-132,7
-201,-58
-226,-109
-191,-127
-109,-111
-3,-115
84,-108
132,-94
71,-80
110,-68
231,-46
345,-6
394,36
409,63
342,80
197,81
147,68
60,53
93,31
105,16
-15,13
-119,-19
-152,-64
-172,-88
-168,-94
-51,-96
56,-71
124,-33
79,14
145,43
97,67
219,69
343,67
403,82
392,84
261,81
211,52
165,11
68,10
98,-16
68,-33
16,-58
-111,-82
-185,-109
-186,-124
-135,-122
-24,-121
-17,-100
106,-92
108,-67
101,-47
161,-23
215,6
287,33
424,39
371,67
241,77
112,53
96,6
47,-24
48,-67
29,-107
-72,-134
-195,-164
-212,-212
-245,-240
-129,-255
-3,-225
36,-166
90,-110
33,-58
80,-34
141,-16
207,14
283,34
340,39
250,24
176,-11
66,-46
52,-101
36,-131
22,-136
-28,-129
-152,-125
-164,-138
-286,-139
-250,-142
-176,-119
-104,-75
-28,-38
33,-18
-29,-2
53,-6
108,9
181,52
254,97
260,127
220,116
124,88
20,33
-4,-19
-26,-56
-36,-90
-109,-115
-207,-150
-318,-192
-343,-246
-323,-281
-217,-284
-150,-256
-52,-216
-31,-178
-26,-136
-69,-105
11,-105
153,-94
243,-42
233,1
140,36
50,42
-10,35
-73,32
-36,19
-82,1
-130,-6
-261,-1
-356,-26
-374,-58
-336,-88
-247,-86
-117,-53
-100,-9
-105,50
-77,66
-22,82
51,116
131,164
147,196
185,183
118,163
-17,120
-31,69
-74,60
-123,68
-97,63
-227,71
-299,45
-408,14
-424,-46
-369,-91
-271,-119
-190,-124
-114,-122
-67,-107
-85,-77
-64,-37
56,-4
169,33
214,93
157,146
95,162
19,139
-77,110
-92,103
-127,111
-140,89
-205,67
-315,34
-371,-9
-403,-33
-330,-58
-148,-72
-99,-38
-95,10
-65,40
-77,62
-46,81
119,95
148,122
208,142
164,159
101,151
-24,121
-68,64
-62,15
-85,-16
-82,-41
-190,-71
-298,-109
-330,-148
-345,-170
-256,-153
-176,-103
-104,-65
-71,-43
-24,-36
2,-9
32,21
122,51
224,64
291,94
190,121
146,108
-54,61
-11,2
-24,-42
-6,-75
-53,-83
-192,-81
-234,-101
-306,-108
-261,-114
-202,-106
-100,-69
-54,-32
21,-4
