index,ppg_in,ppg_filt,valid_pre,peak_pulse,time_counter,interval_valid,bpm_value,bpm_valid
0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0
2,26,0,1,0,0,0,0,0
3,27,0,0,0,0,0,0,0
4,101,6,1,0,0,0,0,0
5,74,6,0,0,0,0,0,0
6,140,10,1,0,0,0,0,0
7,187,10,0,0,0,0,0,0
8,286,2,1,0,0,0,0,0
9,293,2,0,0,0,0,0,0
10,308,15,1,0,0,0,0,0
11,286,15,0,0,0,0,0,0
12,259,25,1,0,0,0,0,0
13,288,25,0,0,0,0,0,0
14,213,22,1,0,0,0,0,0
15,141,22,0,1,0,0,0,0
16,115,30,1,0,0,0,0,0
17,93,30,0,0,1,0,0,0
18,21,8,1,0,1,0,0,0
19,88,8,0,0,2,0,0,0
20,41,-13,1,0,2,0,0,0
21,76,-13,0,0,3,0,0,0
22,-6,0,1,0,3,0,0,0
23,9,0,0,0,4,0,0,0
24,-22,20,1,0,4,0,0,0
25,-35,20,0,0,5,0,0,0
26,-70,37,1,0,5,0,0,0
27,-147,37,0,0,6,0,0,0
28,-126,41,1,0,6,0,0,0
29,-222,41,0,0,7,0,0,0
30,-236,14,1,0,7,0,0,0
31,-277,14,0,0,8,0,0,0
32,-252,-36,1,0,8,0,0,0
33,-231,-36,0,0,9,0,0,0
34,-220,-80,1,0,9,0,0,0
35,-160,-80,0,0,10,0,0,0
36,-109,-95,1,0,10,0,0,0
37,-34,-95,0,0,11,0,0,0
38,36,-80,1,0,11,0,0,0
39,16,-80,0,0,12,0,0,0
40,46,-42,1,0,12,0,0,0
41,68,-42,0,0,13,0,0,0
42,33,-27,1,0,13,0,0,0
43,101,-27,0,0,14,0,0,0
44,67,-9,1,0,14,0,0,0
45,28,-9,0,0,15,0,0,0
46,65,26,1,0,15,0,0,0
47,177,26,0,0,16,0,0,0
48,184,31,1,0,16,0,0,0
49,304,31,0,0,17,0,0,0
50,310,74,1,0,17,0,0,0
51,325,74,0,0,18,0,0,0
52,335,141,1,0,18,0,0,0
53,363,141,0,0,19,0,0,0
54,285,182,1,0,19,0,0,0
55,281,182,0,0,20,0,0,0
56,228,212,1,0,20,0,0,0
57,159,212,0,0,21,0,0,0
58,198,223,1,0,21,0,0,0
59,126,223,0,0,22,0,0,0
60,120,199,1,0,22,0,0,0
61,64,199,0,1,23,0,0,0
62,115,155,1,0,23,0,0,0
63,84,155,0,0,23,1,0,0
64,57,105,1,0,23,1,65,1
65,52,63,1,0,0,0,65,0
66,5,63,0,0,0,0,65,0
67,-26,37,1,0,0,0,65,0
68,2,37,0,0,0,0,65,0
69,-132,4,1,0,0,0,65,0
70,-161,4,0,0,0,0,65,0
71,-201,-5,1,0,0,0,65,0
72,-249,-5,0,0,0,0,65,0
73,-226,-21,1,0,0,0,65,0
74,-257,-21,0,0,0,0,65,0
75,-191,-47,1,0,0,0,65,0
76,-66,-47,0,0,0,0,65,0
77,-109,-72,1,0,0,0,65,0
78,-21,-72,0,0,0,0,65,0
79,-3,-40,1,0,0,0,65,0
80,63,-40,0,0,0,0,65,0
81,84,12,1,0,0,0,65,0
82,121,12,0,0,0,0,65,0
83,132,66,1,0,0,0,65,0
84,66,66,0,0,0,0,65,0
85,71,109,1,0,0,0,65,0
86,74,109,0,0,0,0,65,0
87,110,107,1,0,0,0,65,0
88,156,107,0,1,0,0,65,0
89,231,105,1,0,0,0,65,0
90,293,105,0,0,1,0,65,0
91,345,118,1,0,1,0,65,0
92,384,118,0,0,2,0,65,0
93,394,145,1,0,2,0,65,0
94,403,145,0,0,3,0,65,0
95,409,172,1,0,3,0,65,0
96,360,172,0,0,4,0,65,0
97,342,187,1,0,4,0,65,0
98,230,187,0,0,5,0,65,0
99,197,173,1,0,5,0,65,0
100,163,173,0,0,6,0,65,0
101,147,121,1,0,6,0,65,0
102,94,121,0,0,7,0,65,0
103,60,76,1,0,7,0,65,0
104,95,76,0,0,8,0,65,0
105,93,29,1,0,8,0,65,0
106,90,29,0,0,9,0,65,0
107,105,14,1,0,9,0,65,0
108,68,14,0,0,10,0,65,0
109,-15,4,1,0,10,0,65,0
110,-45,4,0,0,11,0,65,0
111,-119,-16,1,0,11,0,65,0
112,-153,-16,0,0,12,0,65,0
113,-152,-38,1,0,12,0,65,0
114,-190,-38,0,0,13,0,65,0
115,-172,-62,1,0,13,0,65,0
116,-165,-62,0,0,14,0,65,0
117,-168,-88,1,0,14,0,65,0
118,-117,-88,0,0,15,0,65,0
119,-51,-99,1,0,15,0,65,0
120,-6,-99,0,0,16,0,65,0
121,56,-84,1,0,16,0,65,0
122,58,-84,0,0,17,0,65,0
123,124,-57,1,0,17,0,65,0
124,73,-57,0,0,18,0,65,0
125,79,-40,1,0,18,0,65,0
126,120,-40,0,0,19,0,65,0
127,145,-47,1,0,19,0,65,0
128,125,-47,0,0,20,0,65,0
129,97,-35,1,0,20,0,65,0
130,224,-35,0,0,21,0,65,0
131,219,-35,1,0,21,0,65,0
132,293,-35,0,0,22,0,65,0
133,343,12,1,0,22,0,65,0
134,418,12,0,0,23,0,65,0
135,403,66,1,0,23,0,65,0
136,397,66,0,0,24,0,65,0
137,392,123,1,0,24,0,65,0
138,332,123,0,0,25,0,65,0
139,261,151,1,0,25,0,65,0
140,275,151,0,0,26,0,65,0
141,211,142,1,0,26,0,65,0
142,100,142,0,1,27,0,65,0
143,165,139,1,0,27,0,65,0
144,139,139,0,0,27,1,65,0
145,68,94,1,0,27,1,55,1
146,105,56,1,0,0,0,55,0
147,98,56,0,0,0,0,55,0
148,111,32,1,0,0,0,55,0
149,68,32,0,0,0,0,55,0
150,44,15,1,0,0,0,55,0
151,16,15,0,0,0,0,55,0
152,-70,-10,1,0,0,0,55,0
153,-111,-10,0,0,0,0,55,0
154,-180,-35,1,0,0,0,55,0
155,-185,-35,0,0,0,0,55,0
156,-208,-63,1,0,0,0,55,0
157,-186,-63,0,0,0,0,55,0
158,-127,-80,1,0,0,0,55,0
159,-135,-80,0,0,0,0,55,0
160,-73,-80,1,0,0,0,55,0
161,-24,-80,0,0,0,0,55,0
162,0,-81,1,0,0,0,55,0
163,-17,-81,0,0,0,0,55,0
164,56,-62,1,0,0,0,55,0
165,106,-62,0,0,0,0,55,0
166,99,-55,1,0,0,0,55,0
167,108,-55,0,0,0,0,55,0
168,68,-32,1,0,0,0,55,0
169,101,-32,0,0,0,0,55,0
170,122,-15,1,0,0,0,55,0
171,161,-15,0,0,0,0,55,0
172,185,7,1,0,0,0,55,0
173,215,7,0,0,0,0,55,0
174,313,34,1,0,0,0,55,0
175,287,34,0,0,0,0,55,0
176,353,60,1,0,0,0,55,0
177,424,60,0,0,0,0,55,0
178,385,64,1,0,0,0,55,0
179,371,64,0,0,0,0,55,0
180,317,91,1,0,0,0,55,0
181,241,91,0,0,0,0,55,0
182,200,99,1,0,0,0,55,0
183,112,99,0,0,0,0,55,0
184,104,74,1,0,0,0,55,0
185,96,74,0,1,0,0,55,0
186,120,26,1,0,0,0,55,0
187,47,26,0,0,1,0,55,0
188,95,-5,1,0,1,0,55,0
189,48,-5,0,0,2,0,55,0
190,44,-49,1,0,2,0,55,0
191,29,-49,0,0,3,0,55,0
192,-23,-91,1,0,3,0,55,0
193,-72,-91,0,0,4,0,55,0
194,-101,-118,1,0,4,0,55,0
195,-195,-118,0,0,5,0,55,0
196,-198,-149,1,0,5,0,55,0
197,-212,-149,0,0,6,0,55,0
198,-232,-198,1,0,6,0,55,0
199,-245,-198,0,0,7,0,55,0
200,-221,-227,1,0,7,0,55,0
201,-129,-227,0,0,8,0,55,0
202,-102,-243,1,0,8,0,55,0
203,-3,-243,0,0,9,0,55,0
204,-15,-214,1,0,9,0,55,0
205,36,-214,0,0,10,0,55,0
206,45,-156,1,0,10,0,55,0
207,90,-156,0,0,11,0,55,0
208,53,-101,1,0,11,0,55,0
209,33,-101,0,0,12,0,55,0
210,71,-50,1,0,12,0,55,0
211,80,-50,0,0,13,0,55,0
212,86,-27,1,0,13,0,55,0
213,141,-27,0,0,14,0,55,0
214,201,-10,1,0,14,0,55,0
215,207,-10,0,0,15,0,55,0
216,298,20,1,0,15,0,55,0
217,283,20,0,0,16,0,55,0
218,386,40,1,0,16,0,55,0
219,340,40,0,0,17,0,55,0
220,323,45,1,0,17,0,55,0
221,250,45,0,0,18,0,55,0
222,218,30,1,0,18,0,55,0
223,176,30,0,1,19,0,55,0
224,165,-5,1,0,19,0,55,0
225,66,-5,0,0,19,1,55,0
226,53,-41,1,0,19,1,78,1
227,52,-96,1,0,0,0,78,0
228,9,-96,0,0,0,0,78,0
229,36,-126,1,0,0,0,78,0
230,4,-126,0,0,0,0,78,0
231,22,-156,1,0,0,0,78,0
232,-22,-156,0,0,0,0,78,0
233,-28,-181,1,0,0,0,78,0
234,-102,-181,0,0,0,0,78,0
235,-152,-208,1,0,0,0,78,0
236,-173,-208,0,0,0,0,78,0
237,-164,-245,1,0,0,0,78,0
238,-269,-245,0,0,0,0,78,0
239,-286,-269,1,0,0,0,78,0
240,-311,-269,0,0,0,0,78,0
241,-250,-315,1,0,0,0,78,0
242,-252,-315,0,0,0,0,78,0
243,-176,-344,1,0,0,0,78,0
244,-132,-344,0,0,0,0,78,0
245,-104,-353,1,0,0,0,78,0
246,-21,-353,0,0,0,0,78,0
247,-28,-335,1,0,0,0,78,0
248,21,-335,0,0,0,0,78,0
249,33,-286,1,0,0,0,78,0
250,9,-286,0,0,0,0,78,0
251,-29,-234,1,0,0,0,78,0
252,5,-234,0,0,0,0,78,0
253,53,-207,1,0,0,0,78,0
254,12,-207,0,0,0,0,78,0
255,108,-175,1,0,0,0,78,0
256,122,-175,0,0,0,0,78,0
257,181,-167,1,0,0,0,78,0
258,236,-167,0,0,0,0,78,0
259,254,-154,1,0,0,0,78,0
260,331,-154,0,0,0,0,78,0
261,260,-122,1,0,0,0,78,0
262,273,-122,0,0,0,0,78,0
263,220,-73,1,0,0,0,78,0
264,227,-73,0,0,0,0,78,0
265,124,-38,1,0,0,0,78,0
266,71,-38,0,0,0,0,78,0
267,20,-14,1,0,0,0,78,0
268,16,-14,0,0,0,0,78,0
269,-4,-19,1,0,0,0,78,0
270,12,-19,0,0,0,0,78,0
271,-26,-23,1,0,0,0,78,0
272,-15,-23,0,0,0,0,78,0
273,-36,-19,1,0,0,0,78,0
274,-45,-19,0,0,0,0,78,0
275,-109,-12,1,0,0,0,78,0
276,-136,-12,0,0,0,0,78,0
277,-207,-11,1,0,0,0,78,0
278,-225,-11,0,0,0,0,78,0
279,-318,-20,1,0,0,0,78,0
280,-316,-20,0,0,0,0,78,0
281,-343,-32,1,0,0,0,78,0
282,-353,-32,0,0,0,0,78,0
283,-323,-37,1,0,0,0,78,0
284,-282,-37,0,0,0,0,78,0
285,-217,-43,1,0,0,0,78,0
286,-199,-43,0,0,0,0,78,0
287,-150,-30,1,0,0,0,78,0
288,-80,-30,0,0,0,0,78,0
289,-52,-15,1,0,0,0,78,0
290,-77,-15,0,0,0,0,78,0
291,-31,19,1,0,0,0,78,0
292,-35,19,0,0,0,0,78,0
293,-26,29,1,0,0,0,78,0
294,-13,29,0,0,0,0,78,0
295,-69,33,1,0,0,0,78,0
296,-13,33,0,0,0,0,78,0
297,11,39,1,0,0,0,78,0
298,33,39,0,0,0,0,78,0
299,153,62,1,0,0,0,78,0
300,211,62,0,0,0,0,78,0
301,243,82,1,0,0,0,78,0
302,203,82,0,0,0,0,78,0
303,233,113,1,0,0,0,78,0
304,179,113,0,0,0,0,78,0
305,140,114,1,0,0,0,78,0
306,77,114,0,0,0,0,78,0
307,50,92,1,0,0,0,78,0
308,-17,92,0,1,0,0,78,0
309,-10,54,1,0,0,0,78,0
310,-42,54,0,0,1,0,78,0
311,-73,7,1,0,1,0,78,0
312,-9,7,0,0,2,0,78,0
313,-36,-32,1,0,2,0,78,0
314,-92,-32,0,0,3,0,78,0
315,-82,-31,1,0,3,0,78,0
316,-153,-31,0,0,4,0,78,0
317,-130,-50,1,0,4,0,78,0
318,-186,-50,0,0,5,0,78,0
319,-261,-85,1,0,5,0,78,0
320,-304,-85,0,0,6,0,78,0
321,-356,-124,1,0,6,0,78,0
