q314,q512,add_out
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
4277,1069,3189
0,0,0
-4277,-1069,-1069
-8481,-2120,-4240
-12540,-3135,-5255
-16384,-4096,-8192
-19948,-4987,-9083
-23170,-5793,-11585
-25997,-6499,-12292
-28378,-7094,-14188
-30274,-7568,-14662
-31651,-7913,-15826
-32488,-8122,-16035
-32768,-8192,-16384
-32488,-8122,-16314
-31651,-7913,-15826
-30274,-7568,-15481
-28378,-7094,-14188
-25997,-6499,-13593
-23170,-5793,-11585
-19948,-4987,-10780
-16384,-4096,-8192
-12540,-3135,-7231
-8481,-2120,-4240
-4277,-1069,-3189
0,0,0
4277,1069,1069
8481,2120,4240
12540,3135,5255
16384,4096,8192
19948,4987,9083
23170,5793,11586
25997,6499,12292
28378,7094,14189
30274,7568,14663
31651,7913,15826
32488,8122,16035
32768,8192,16384
32488,8122,16314
31651,7913,15826
30274,7568,15482
28378,7094,14189
25997,6499,13593
23170,5793,11586
19948,4987,10780
16384,4096,8192
12540,3135,7231
8481,2120,4240
