q314,q512,mul_out
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
-4277,-1069,1097
0,0,0
4277,1069,0
8481,2120,1097
12540,3135,1097
16384,4096,4096
19948,4987,4096
23170,5793,8192
25997,6499,8192
28378,7094,12287
30274,7568,12287
31651,7913,15287
32488,8122,15287
32768,8192,16384
32488,8122,16384
31651,7913,15287
30274,7568,15287
28378,7094,12287
25997,6499,12287
23170,5793,8192
19948,4987,8192
16384,4096,4096
12540,3135,4096
8481,2120,1097
4277,1069,1097
0,0,0
-4277,-1069,0
-8481,-2120,1097
-12540,-3135,1097
-16384,-4096,4096
-19948,-4987,4096
-23170,-5793,8192
-25997,-6499,8192
-28378,-7094,12287
-30274,-7568,12287
-31651,-7913,15287
-32488,-8122,15287
-32768,-8192,16384
-32488,-8122,16384
-31651,-7913,15287
-30274,-7568,15287
-28378,-7094,12287
-25997,-6499,12287
-23170,-5793,8192
-19948,-4987,8192
-16384,-4096,4096
-12540,-3135,4096
-8481,-2120,1097
