q314,q512,sub_out
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
-4277,-1069,0
0,0,0
4277,1069,0
8481,2120,0
12540,3135,0
16384,4096,0
19948,4987,0
23170,5793,0
25997,6499,0
28378,7094,-1
30274,7568,-1
31651,7913,0
32488,8122,0
32768,8192,0
32488,8122,0
31651,7913,0
30274,7568,0
28378,7094,-1
25997,6499,-1
23170,5793,0
19948,4987,0
16384,4096,0
12540,3135,0
8481,2120,0
4277,1069,0
0,0,0
-4277,-1069,0
-8481,-2120,0
-12540,-3135,0
-16384,-4096,0
-19948,-4987,0
-23170,-5793,-1
-25997,-6499,-1
-28378,-7094,0
-30274,-7568,0
-31651,-7913,0
-32488,-8122,0
-32768,-8192,0
-32488,-8122,0
-31651,-7913,0
-30274,-7568,0
-28378,-7094,0
-25997,-6499,0
-23170,-5793,-1
-19948,-4987,-1
-16384,-4096,0
-12540,-3135,0
-8481,-2120,0
